date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:41:45	1337/1337	---MCZ	404	error ('Not%20Found')	text/html	etag:1740646702-ssl-df	https://lovely-bavarois-b19658.netlify.app/robots.txt		(from )
23:41:45	76007/76007	---MCZ	200	added ('OK')	text/html	etag:%2262caa8c1ada7f9748e2345a025b02419-ssl-df%22	https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements	E:/Addmission/lovely-bavarois-b19658.netlify.app/index04b9.html	(from )
23:41:46	28765/28765	---MCZ	200	added ('OK')	text/css	etag:%222318a561e9cacdc63cdec1304b77c2ea-ssl-df%22	https://lovely-bavarois-b19658.netlify.app/assets/css/aos.css	E:/Addmission/lovely-bavarois-b19658.netlify.app/assets/css/aos.css	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:41:46	194900/194900	---MCZ	200	added ('OK')	text/css	etag:%22887eb7920727647e5550687bebd0a08f-ssl-df%22	https://lovely-bavarois-b19658.netlify.app/assets/css/bootstrap.min.css	E:/Addmission/lovely-bavarois-b19658.netlify.app/assets/css/bootstrap.min.css	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:41:47	61773/61773	---MCZ	200	added ('OK')	text/css	etag:%225cdffc201f4c04f226c38321670ab038-ssl-df%22	https://lovely-bavarois-b19658.netlify.app/assets/css/boxicons.min.css	E:/Addmission/lovely-bavarois-b19658.netlify.app/assets/css/boxicons.min.css	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:41:47	4199/4199	---MCZ	200	added ('OK')	text/css	etag:%22d7370653372c258a74e963e6d4d69ebb-ssl-df%22	https://lovely-bavarois-b19658.netlify.app/assets/css/owl.carousel.min.css	E:/Addmission/lovely-bavarois-b19658.netlify.app/assets/css/owl.carousel.min.css	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:41:48	79212/79212	---MCZ	200	added ('OK')	text/css	etag:%22338b0e41adc92eae98c3615a8b30c2b9-ssl-df%22	https://lovely-bavarois-b19658.netlify.app/assets/css/flaticon.css	E:/Addmission/lovely-bavarois-b19658.netlify.app/assets/css/flaticon.css	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:41:49	5388/5388	---MCZ	200	added ('OK')	text/css	etag:%22ff0e920b35049c248c8f413788c67c1c-ssl-df%22	https://lovely-bavarois-b19658.netlify.app/assets/css/magnific-popup.min.css	E:/Addmission/lovely-bavarois-b19658.netlify.app/assets/css/magnific-popup.min.css	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:41:49	107170/107170	---MCZ	200	added ('OK')	text/css	etag:%22b583496902cf39eff3ca9f48a9b75170-ssl-df%22	https://lovely-bavarois-b19658.netlify.app/assets/css/style.css	E:/Addmission/lovely-bavarois-b19658.netlify.app/assets/css/style.css	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:41:50	30387/30387	---MCZ	200	added ('OK')	text/css	etag:%22e24a0824d56f4e7784a370e2c2fc351a-ssl-df%22	https://lovely-bavarois-b19658.netlify.app/assets/css/header.css	E:/Addmission/lovely-bavarois-b19658.netlify.app/assets/css/header.css	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:41:51	96868/96868	---MCZ	200	added ('OK')	text/css	etag:%22c2631c32a1c6236b926f626c0a1f248a-ssl-df%22	https://lovely-bavarois-b19658.netlify.app/assets/css/responsive.css	E:/Addmission/lovely-bavarois-b19658.netlify.app/assets/css/responsive.css	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:41:51	4438/4438	---M--	200	added ('OK')	image/png	etag:%2271686b8e148e4cf94ef0129b2579b8cb-ssl%22	https://lovely-bavarois-b19658.netlify.app/assets/img/all-img/favicon.png	E:/Addmission/lovely-bavarois-b19658.netlify.app/assets/img/all-img/favicon.png	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:41:52	3221/3221	---M--	200	added ('OK')	image/png	etag:%22378e8edcb9f4fee00995b6d7a3c41f3e-ssl%22	https://lovely-bavarois-b19658.netlify.app/assets/img/logo/white-logo.png	E:/Addmission/lovely-bavarois-b19658.netlify.app/assets/img/logo/white-logo.png	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:41:52	76007/76007	---M-Z	200	added ('OK')	text/html	etag:%2262caa8c1ada7f9748e2345a025b02419-ssl-df%22	https://lovely-bavarois-b19658.netlify.app/	E:/Addmission/lovely-bavarois-b19658.netlify.app/index.html	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:41:52	3260/3260	---M--	200	added ('OK')	image/png	etag:%2244824e9c3278e2a5a8f992901d8f0e05-ssl%22	https://lovely-bavarois-b19658.netlify.app/assets/img/logo/logo.png	E:/Addmission/lovely-bavarois-b19658.netlify.app/assets/img/logo/logo.png	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:41:53	92843/92843	---M-Z	200	added ('OK')	text/html	etag:%22c2b854ce3b831bf2d45cc422e7c17bda-ssl-df%22	https://lovely-bavarois-b19658.netlify.app/index2	E:/Addmission/lovely-bavarois-b19658.netlify.app/index2.html	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:41:54	81589/81589	---MCZ	200	added ('OK')	text/html	etag:%220edff38d78b100e000c69244c352b0a7-ssl-df%22	https://lovely-bavarois-b19658.netlify.app/index3	E:/Addmission/lovely-bavarois-b19658.netlify.app/index3.html	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:41:55	43210/43210	---MCZ	200	added ('OK')	text/html	etag:%229d838f4bd4929e6813818680401d645a-ssl-df%22	https://lovely-bavarois-b19658.netlify.app/about-us	E:/Addmission/lovely-bavarois-b19658.netlify.app/about-us.html	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:41:56	48474/48474	---MCZ	200	added ('OK')	text/html	etag:%22ad30976c1463254ffc2362332c6cd3f0-ssl-df%22	https://lovely-bavarois-b19658.netlify.app/news-and-blog	E:/Addmission/lovely-bavarois-b19658.netlify.app/news-and-blog.html	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:41:57	51426/51426	---MCZ	200	added ('OK')	text/html	etag:%22176a1d22d8b7a5fab9923f36d1ae41e7-ssl-df%22	https://lovely-bavarois-b19658.netlify.app/blog-details	E:/Addmission/lovely-bavarois-b19658.netlify.app/blog-details.html	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:41:58	45335/45335	---MCZ	200	added ('OK')	text/html	etag:%2246e745aad88e36ead3d1732247d472ec-ssl-df%22	https://lovely-bavarois-b19658.netlify.app/alumni	E:/Addmission/lovely-bavarois-b19658.netlify.app/alumni.html	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:41:59	42869/42869	---MCZ	200	added ('OK')	text/html	etag:%22d66101ffa79c18936bdb344d3da10f43-ssl-df%22	https://lovely-bavarois-b19658.netlify.app/academics	E:/Addmission/lovely-bavarois-b19658.netlify.app/academics.html	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:42:00	42860/42860	---MCZ	200	added ('OK')	text/html	etag:%22a2f877ec0d23d309ea81f074b72ff4c7-ssl-df%22	https://lovely-bavarois-b19658.netlify.app/undergraduate	E:/Addmission/lovely-bavarois-b19658.netlify.app/undergraduate.html	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:42:00	44568/44568	---MCZ	200	added ('OK')	text/html	etag:%2231e97e4612d3d2526d989d7721ee61cd-ssl-df%22	https://lovely-bavarois-b19658.netlify.app/graduate	E:/Addmission/lovely-bavarois-b19658.netlify.app/graduate.html	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
23:42:01	44366/44366	---MCZ	200	added ('OK')	text/html	etag:%226f6571107563039cd16cb422f0836c52-ssl-df%22	https://lovely-bavarois-b19658.netlify.app/online-education	E:/Addmission/lovely-bavarois-b19658.netlify.app/online-education.html	(from https://lovely-bavarois-b19658.netlify.app/?storefront=envato-elements)
